Player 1,Player 2,Player_1_Win,,Player 1,Player 2,Player_1_Win
Albert Ramos,Hyeon Chung,1,,Hyeon Chung,Albert Ramos,0
Federico Delbonis,Santiago Giraldo,1,,Federico Delbonis,Santiago Giraldo,1
Marcel Granollers,Damir Dzumhur,1,,Damir Dzumhur,Marcel Granollers,0
Novak Djokovic,Kei Nishikori,1,,Novak Djokovic,Kei Nishikori,1
Novak Djokovic,David Goffin,1,,David Goffin,Novak Djokovic,0
Kei Nishikori,Nick Kyrgios,1,,Kei Nishikori,Nick Kyrgios,1
Novak Djokovic,Tomas Berdych,1,,Tomas Berdych,Novak Djokovic,0
David Goffin,Gilles Simon,1,,David Goffin,Gilles Simon,1
Nick Kyrgios,Milos Raonic,1,,Milos Raonic,Nick Kyrgios,0
Kei Nishikori,Gael Monfils,1,,Kei Nishikori,Gael Monfils,1
Novak Djokovic,Dominic Thiem,1,,Dominic Thiem,Novak Djokovic,0
Tomas Berdych,Richard Gasquet,1,,Tomas Berdych,Richard Gasquet,1
David Goffin,Horacio Zeballos,1,,Horacio Zeballos,David Goffin,0
Gilles Simon,Lucas Pouille,1,,Gilles Simon,Lucas Pouille,1
Milos Raonic,Damir Dzumhur,1,,Damir Dzumhur,Milos Raonic,0
Nick Kyrgios,Andrey Kuznetsov,1,,Nick Kyrgios,Andrey Kuznetsov,1
Kei Nishikori,Roberto Bautista Agut,1,,Roberto Bautista Agut,Kei Nishikori,0
Gael Monfils,Grigor Dimitrov,1,,Gael Monfils,Grigor Dimitrov,1
Novak Djokovic,Joao Sousa,1,,Joao Sousa,Novak Djokovic,0
Dominic Thiem,Yoshihito Nishioka,1,,Dominic Thiem,Yoshihito Nishioka,1
Richard Gasquet,Benoit Paire,1,,Benoit Paire,Richard Gasquet,0
Tomas Berdych,Steve Johnson,1,,Tomas Berdych,Steve Johnson,1
Horacio Zeballos,Fernando Verdasco,1,,Fernando Verdasco,Horacio Zeballos,0
David Goffin,Viktor Troicki,1,,David Goffin,Viktor Troicki,1
Gilles Simon,Marin Cilic,1,,Marin Cilic,Gilles Simon,0
Lucas Pouille,David Ferrer,1,,Lucas Pouille,David Ferrer,1
Damir Dzumhur,Mikhail Kukushkin,1,,Mikhail Kukushkin,Damir Dzumhur,0
Milos Raonic,Jack Sock,1,,Milos Raonic,Jack Sock,1
Nick Kyrgios,Tim Smyczek,1,,Tim Smyczek,Nick Kyrgios,0
Andrey Kuznetsov,Adrian Mannarino,1,,Andrey Kuznetsov,Adrian Mannarino,1
Kei Nishikori,Alexandr Dolgopolov,1,,Alexandr Dolgopolov,Kei Nishikori,0
Roberto Bautista Agut,Jo Wilfried Tsonga,1,,Roberto Bautista Agut,Jo Wilfried Tsonga,1
Gael Monfils,Pablo Cuevas,1,,Pablo Cuevas,Gael Monfils,0
Grigor Dimitrov,Andy Murray,1,,Grigor Dimitrov,Andy Murray,1
Novak Djokovic,Kyle Edmund,1,,Kyle Edmund,Novak Djokovic,0
Joao Sousa,Vasek Pospisil,1,,Joao Sousa,Vasek Pospisil,1
Yoshihito Nishioka,Feliciano Lopez,1,,Feliciano Lopez,Yoshihito Nishioka,0
Dominic Thiem,Samuel Groth,1,,Dominic Thiem,Samuel Groth,1
Richard Gasquet,Albert Ramos,1,,Albert Ramos,Richard Gasquet,0
Benoit Paire,Mikhail Youzhny,1,,Benoit Paire,Mikhail Youzhny,1
Steve Johnson,Alexander Zverev,1,,Alexander Zverev,Steve Johnson,0
Tomas Berdych,Rajeev Ram,1,,Tomas Berdych,Rajeev Ram,1
Horacio Zeballos,Juan Martin Del Potro,1,,Juan Martin Del Potro,Horacio Zeballos,0
Fernando Verdasco,Jeremy Chardy,1,,Fernando Verdasco,Jeremy Chardy,1
Viktor Troicki,Inigo Cervantes Huegun,1,,Inigo Cervantes Huegun,Viktor Troicki,0
David Goffin,Marcel Granollers,1,,David Goffin,Marcel Granollers,1
Marin Cilic,Dusan Lajovic,1,,Dusan Lajovic,Marin Cilic,0
Gilles Simon,Juan Monaco,1,,Gilles Simon,Juan Monaco,1
Lucas Pouille,Guillermo Garcia Lopez,1,,Guillermo Garcia Lopez,Lucas Pouille,0
David Ferrer,Taylor Harry Fritz,1,,David Ferrer,Taylor Harry Fritz,1
Damir Dzumhur,Rafael Nadal,1,,Rafael Nadal,Damir Dzumhur,0
Mikhail Kukushkin,Thomaz Bellucci,1,,Mikhail Kukushkin,Thomaz Bellucci,1
Jack Sock,Sergiy Stakhovsky,1,,Sergiy Stakhovsky,Jack Sock,0
Milos Raonic,Denis Kudla,1,,Milos Raonic,Denis Kudla,1
Tim Smyczek,John Isner,1,,John Isner,Tim Smyczek,0
Nick Kyrgios,Marcos Baghdatis,1,,Nick Kyrgios,Marcos Baghdatis,1
Adrian Mannarino,Sam Querrey,1,,Sam Querrey,Adrian Mannarino,0
Andrey Kuznetsov,Stanislas Wawrinka,1,,Andrey Kuznetsov,Stanislas Wawrinka,1
Kei Nishikori,Pierre Hugues Herbert,1,,Pierre Hugues Herbert,Kei Nishikori,0
Alexandr Dolgopolov,Andreas Seppi,1,,Alexandr Dolgopolov,Andreas Seppi,1
Roberto Bautista Agut,Aljaz Bedene,1,,Aljaz Bedene,Roberto Bautista Agut,0
Jo Wilfried Tsonga,Santiago Giraldo,1,,Jo Wilfried Tsonga,Santiago Giraldo,1
Gael Monfils,Tatsuma Ito,1,,Tatsuma Ito,Gael Monfils,0
Pablo Cuevas,John Millman,1,,Pablo Cuevas,John Millman,1
Grigor Dimitrov,Federico Delbonis,1,,Federico Delbonis,Grigor Dimitrov,0
Andy Murray,Denis Istomin,1,,Andy Murray,Denis Istomin,1
Kyle Edmund,Jiri Vesely,1,,Jiri Vesely,Kyle Edmund,0
Vasek Pospisil,Diego Sebastian Schwartzman,1,,Vasek Pospisil,Diego Sebastian Schwartzman,1
Yoshihito Nishioka,Jared Donaldson,1,,Jared Donaldson,Yoshihito Nishioka,0
Samuel Groth,Victor Estrella,1,,Samuel Groth,Victor Estrella,1
Albert Ramos,Alejandro Gonzalez,1,,Alejandro Gonzalez,Albert Ramos,0
Mikhail Youzhny,Ernests Gulbis,1,,Mikhail Youzhny,Ernests Gulbis,1
Alexander Zverev,Michael Mmoh,1,,Michael Mmoh,Alexander Zverev,0
Rajeev Ram,Evgeny Donskoy,1,,Rajeev Ram,Evgeny Donskoy,1
Juan Martin Del Potro,Guido Pella,1,,Guido Pella,Juan Martin Del Potro,0
Fernando Verdasco,Gilles Muller,1,,Fernando Verdasco,Gilles Muller,1
Inigo Cervantes Huegun,Andrey Rublev,1,,Andrey Rublev,Inigo Cervantes Huegun,0
Marcel Granollers,Bjorn Fratangelo,1,,Marcel Granollers,Bjorn Fratangelo,1
Dusan Lajovic,Dennis Novikov,1,,Dennis Novikov,Dusan Lajovic,0
Juan Monaco,Ivan Dodig,1,,Juan Monaco,Ivan Dodig,1
Lucas Pouille,Teymuraz Gabashvili,1,,Teymuraz Gabashvili,Lucas Pouille,0
Taylor Harry Fritz,Simone Bolelli,1,,Taylor Harry Fritz,Simone Bolelli,1
Damir Dzumhur,Leonardo Mayer,1,,Leonardo Mayer,Damir Dzumhur,0
Mikhail Kukushkin,Brian Baker,1,,Mikhail Kukushkin,Brian Baker,1
Sergiy Stakhovsky,Nicolas Jarry,1,,Nicolas Jarry,Sergiy Stakhovsky,0
Denis Kudla,Hyeon Chung,1,,Denis Kudla,Hyeon Chung,1
Tim Smyczek,Tommy Paul,1,,Tommy Paul,Tim Smyczek,0
Marcos Baghdatis,Benjamin Becker,1,,Marcos Baghdatis,Benjamin Becker,1
Adrian Mannarino,Illya Marchenko,1,,Illya Marchenko,Adrian Mannarino,0
Andrey Kuznetsov,Rogerio Dutra Silva,1,,Andrey Kuznetsov,Rogerio Dutra Silva,1
Pierre Hugues Herbert,Lukas Rosol,1,,Lukas Rosol,Pierre Hugues Herbert,0
Andreas Seppi,Donald Young,1,,Andreas Seppi,Donald Young,1
Aljaz Bedene,Roberto Carballes Baena,1,,Roberto Carballes Baena,Aljaz Bedene,0
Santiago Giraldo,Paul Henri Mathieu,1,,Santiago Giraldo,Paul Henri Mathieu,1
Tatsuma Ito,Nicolas Mahut,1,,Nicolas Mahut,Tatsuma Ito,0
John Millman,Pablo Carreno Busta,1,,John Millman,Pablo Carreno Busta,1
Federico Delbonis,Elias Ymer,1,,Elias Ymer,Federico Delbonis,0
Denis Istomin,Borna Coric,1,,Denis Istomin,Borna Coric,1
Juan Monaco,Jack Sock,1,,Jack Sock,Juan Monaco,0
Jack Sock,John Isner,1,,Jack Sock,John Isner,1
Juan Monaco,Feliciano Lopez,1,,Feliciano Lopez,Juan Monaco,0
John Isner,Hyeon Chung,1,,John Isner,Hyeon Chung,1
Jack Sock,Marcos Baghdatis,1,,Marcos Baghdatis,Jack Sock,0
Feliciano Lopez,Tim Smyczek,1,,Feliciano Lopez,Tim Smyczek,1
Juan Monaco,Sam Querrey,1,,Sam Querrey,Juan Monaco,0
John Isner,Denis Kudla,1,,John Isner,Denis Kudla,1
Hyeon Chung,Tommy Paul,1,,Tommy Paul,Hyeon Chung,0
Jack Sock,Matthew Barton,1,,Jack Sock,Matthew Barton,1
Marcos Baghdatis,Fernando Verdasco,1,,Fernando Verdasco,Marcos Baghdatis,0
Tim Smyczek,Donald Young,1,,Tim Smyczek,Donald Young,1
Feliciano Lopez,Lukas Lacko,1,,Lukas Lacko,Feliciano Lopez,0
Sam Querrey,Benjamin Becker,1,,Sam Querrey,Benjamin Becker,1
Juan Monaco,Benoit Paire,1,,Benoit Paire,Juan Monaco,0
Denis Kudla,Mischa Zverev,1,,Denis Kudla,Mischa Zverev,1
Hyeon Chung,Victor Estrella,1,,Victor Estrella,Hyeon Chung,0
Tommy Paul,Paolo Lorenzi,1,,Tommy Paul,Paolo Lorenzi,1
Matthew Barton,Francis Tiafoe,1,,Francis Tiafoe,Matthew Barton,0
Fernando Verdasco,Carlos Berlocq,1,,Fernando Verdasco,Carlos Berlocq,1
Marcos Baghdatis,Diego Sebastian Schwartzman,1,,Diego Sebastian Schwartzman,Marcos Baghdatis,0
Donald Young,Steve Johnson,1,,Donald Young,Steve Johnson,1
Tim Smyczek,Nicolas Kicker,1,,Nicolas Kicker,Tim Smyczek,0
Lukas Lacko,Dmitry Tursunov,1,,Lukas Lacko,Dmitry Tursunov,1
Sam Querrey,Reilly Opelka,1,,Reilly Opelka,Sam Querrey,0
Benjamin Becker,Michael Berrer,1,,Benjamin Becker,Michael Berrer,1
Juan Monaco,Gerald Melzer,1,,Gerald Melzer,Juan Monaco,0
Federico Delbonis,Borna Coric,1,,Federico Delbonis,Borna Coric,1
Borna Coric,Jiri Vesely,1,,Jiri Vesely,Borna Coric,0
Federico Delbonis,Albert Montanes,1,,Federico Delbonis,Albert Montanes,1
Jiri Vesely,Guillermo Garcia Lopez,1,,Guillermo Garcia Lopez,Jiri Vesely,0
Borna Coric,Paul Henri Mathieu,1,,Borna Coric,Paul Henri Mathieu,1
Federico Delbonis,Pablo Carreno Busta,1,,Pablo Carreno Busta,Federico Delbonis,0
Albert Montanes,Facundo Bagnis,1,,Albert Montanes,Facundo Bagnis,1
Guillermo Garcia Lopez,Nicolas Almagro,1,,Nicolas Almagro,Guillermo Garcia Lopez,0
Jiri Vesely,Nikola Mektic,1,,Jiri Vesely,Nikola Mektic,1
Borna Coric,Simone Bolelli,1,,Simone Bolelli,Borna Coric,0
Paul Henri Mathieu,Maximo Gonzalez,1,,Paul Henri Mathieu,Maximo Gonzalez,1
Pablo Carreno Busta,Denis Istomin,1,,Denis Istomin,Pablo Carreno Busta,0
Federico Delbonis,Thiemo De Bakker,1,,Federico Delbonis,Thiemo De Bakker,1
Albert Montanes,Daniel Gimeno Traver,1,,Daniel Gimeno Traver,Albert Montanes,0
Facundo Bagnis,Joao Sousa,1,,Facundo Bagnis,Joao Sousa,1
Nicolas Almagro,Radu Albot,1,,Radu Albot,Nicolas Almagro,0
Nikola Mektic,Reda El Amrani,1,,Nikola Mektic,Reda El Amrani,1
Jiri Vesely,Inigo Cervantes Huegun,1,,Inigo Cervantes Huegun,Jiri Vesely,0
Simone Bolelli,Taro Daniel,1,,Simone Bolelli,Taro Daniel,1
Maximo Gonzalez,Daniel Munoz De La Nava,1,,Daniel Munoz De La Nava,Maximo Gonzalez,0
Paul Henri Mathieu,Albert Ramos,1,,Paul Henri Mathieu,Albert Ramos,1
Pablo Carreno Busta,Evgeny Donskoy,1,,Evgeny Donskoy,Pablo Carreno Busta,0
Denis Istomin,Lorenzo Giustino,1,,Denis Istomin,Lorenzo Giustino,1
Thiemo De Bakker,Amine Ahouda,1,,Amine Ahouda,Thiemo De Bakker,0
Daniel Gimeno Traver,Teymuraz Gabashvili,1,,Daniel Gimeno Traver,Teymuraz Gabashvili,1
Albert Montanes,Franco Skugor,1,,Franco Skugor,Albert Montanes,0
Facundo Bagnis,Lamine Ouahab,1,,Facundo Bagnis,Lamine Ouahab,1
Rafael Nadal,Gael Monfils,1,,Gael Monfils,Rafael Nadal,0
Gael Monfils,Jo Wilfried Tsonga,1,,Gael Monfils,Jo Wilfried Tsonga,1
Rafael Nadal,Andy Murray,1,,Andy Murray,Rafael Nadal,0
Gael Monfils,Marcel Granollers,1,,Gael Monfils,Marcel Granollers,1
Jo Wilfried Tsonga,Roger Federer,1,,Roger Federer,Jo Wilfried Tsonga,0
Rafael Nadal,Stanislas Wawrinka,1,,Rafael Nadal,Stanislas Wawrinka,1
Andy Murray,Milos Raonic,1,,Milos Raonic,Andy Murray,0
Gael Monfils,Jiri Vesely,1,,Gael Monfils,Jiri Vesely,1
Marcel Granollers,David Goffin,1,,David Goffin,Marcel Granollers,0
Roger Federer,Roberto Bautista Agut,1,,Roger Federer,Roberto Bautista Agut,1
Jo Wilfried Tsonga,Lucas Pouille,1,,Lucas Pouille,Jo Wilfried Tsonga,0
Rafael Nadal,Dominic Thiem,1,,Rafael Nadal,Dominic Thiem,1
Stanislas Wawrinka,Gilles Simon,1,,Gilles Simon,Stanislas Wawrinka,0
Milos Raonic,Damir Dzumhur,1,,Milos Raonic,Damir Dzumhur,1
Andy Murray,Benoit Paire,1,,Benoit Paire,Andy Murray,0
Jiri Vesely,Novak Djokovic,1,,Jiri Vesely,Novak Djokovic,1
Gael Monfils,Paolo Lorenzi,1,,Paolo Lorenzi,Gael Monfils,0
David Goffin,Fernando Verdasco,1,,David Goffin,Fernando Verdasco,1
Marcel Granollers,Alexander Zverev,1,,Alexander Zverev,Marcel Granollers,0
Roger Federer,Guillermo Garcia Lopez,1,,Roger Federer,Guillermo Garcia Lopez,1
Roberto Bautista Agut,Jeremy Chardy,1,,Jeremy Chardy,Roberto Bautista Agut,0
Lucas Pouille,Richard Gasquet,1,,Lucas Pouille,Richard Gasquet,1
Jo Wilfried Tsonga,Pablo Carreno Busta,1,,Pablo Carreno Busta,Jo Wilfried Tsonga,0
Rafael Nadal,Aljaz Bedene,1,,Rafael Nadal,Aljaz Bedene,1
Dominic Thiem,Taro Daniel,1,,Taro Daniel,Dominic Thiem,0
Gilles Simon,Grigor Dimitrov,1,,Gilles Simon,Grigor Dimitrov,1
Stanislas Wawrinka,Philipp Kohlschreiber,1,,Philipp Kohlschreiber,Stanislas Wawrinka,0
Damir Dzumhur,Tomas Berdych,1,,Damir Dzumhur,Tomas Berdych,1
Milos Raonic,Pablo Cuevas,1,,Pablo Cuevas,Milos Raonic,0
Benoit Paire,Joao Sousa,1,,Benoit Paire,Joao Sousa,1
Andy Murray,Pierre Hugues Herbert,1,,Pierre Hugues Herbert,Andy Murray,0
Jiri Vesely,Teymuraz Gabashvili,1,,Jiri Vesely,Teymuraz Gabashvili,1
Paolo Lorenzi,Fabio Fognini,1,,Fabio Fognini,Paolo Lorenzi,0
Gael Monfils,Gilles Muller,1,,Gael Monfils,Gilles Muller,1
David Goffin,Feliciano Lopez,1,,Feliciano Lopez,David Goffin,0
Fernando Verdasco,Federico Delbonis,1,,Fernando Verdasco,Federico Delbonis,1
Alexander Zverev,Andrey Rublev,1,,Andrey Rublev,Alexander Zverev,0
Guillermo Garcia Lopez,Thomaz Bellucci,1,,Guillermo Garcia Lopez,Thomaz Bellucci,1
Jeremy Chardy,Andrey Kuznetsov,1,,Andrey Kuznetsov,Jeremy Chardy,0
Roberto Bautista Agut,Albert Ramos,1,,Roberto Bautista Agut,Albert Ramos,1
Richard Gasquet,Nicolas Almagro,1,,Nicolas Almagro,Richard Gasquet,0
Lucas Pouille,Nicolas Mahut,1,,Lucas Pouille,Nicolas Mahut,1
Pablo Carreno Busta,Stephane Robert,1,,Stephane Robert,Pablo Carreno Busta,0
Aljaz Bedene,Lukas Rosol,1,,Aljaz Bedene,Lukas Rosol,1
Taro Daniel,Adrian Mannarino,1,,Adrian Mannarino,Taro Daniel,0
Dominic Thiem,Jan Lennard Struff,1,,Dominic Thiem,Jan Lennard Struff,1
Gilles Simon,Viktor Troicki,1,,Viktor Troicki,Gilles Simon,0
Grigor Dimitrov,Filip Krajinovic,1,,Grigor Dimitrov,Filip Krajinovic,1
Philipp Kohlschreiber,Borna Coric,1,,Borna Coric,Philipp Kohlschreiber,0
Damir Dzumhur,Robin Haase,1,,Damir Dzumhur,Robin Haase,1
Pablo Cuevas,Daniel Gimeno Traver,1,,Daniel Gimeno Traver,Pablo Cuevas,0
Milos Raonic,Marco Cecchinato,1,,Milos Raonic,Marco Cecchinato,1
Benoit Paire,Inigo Cervantes Huegun,1,,Inigo Cervantes Huegun,Benoit Paire,0
Joao Sousa,Ivo Karlovic,1,,Joao Sousa,Ivo Karlovic,1
Pierre Hugues Herbert,Guido Pella,1,,Guido Pella,Pierre Hugues Herbert,0
Rafael Nadal,Kei Nishikori,1,,Rafael Nadal,Kei Nishikori,1
Rafael Nadal,Philipp Kohlschreiber,1,,Philipp Kohlschreiber,Rafael Nadal,0
Kei Nishikori,Benoit Paire,1,,Kei Nishikori,Benoit Paire,1
Rafael Nadal,Fabio Fognini,1,,Fabio Fognini,Rafael Nadal,0
Philipp Kohlschreiber,Andrey Kuznetsov,1,,Philipp Kohlschreiber,Andrey Kuznetsov,1
Benoit Paire,Malek Jaziri,1,,Malek Jaziri,Benoit Paire,0
Kei Nishikori,Alexandr Dolgopolov,1,,Kei Nishikori,Alexandr Dolgopolov,1
Rafael Nadal,Albert Montanes,1,,Albert Montanes,Rafael Nadal,0
Fabio Fognini,Viktor Troicki,1,,Fabio Fognini,Viktor Troicki,1
Andrey Kuznetsov,Radek Stepanek,1,,Radek Stepanek,Andrey Kuznetsov,0
Philipp Kohlschreiber,Feliciano Lopez,1,,Philipp Kohlschreiber,Feliciano Lopez,1
Benoit Paire,Pablo Cuevas,1,,Pablo Cuevas,Benoit Paire,0
Malek Jaziri,Alexander Zverev,1,,Malek Jaziri,Alexander Zverev,1
Alexandr Dolgopolov,Karen Khachanov,1,,Karen Khachanov,Alexandr Dolgopolov,0
Kei Nishikori,Jeremy Chardy,1,,Kei Nishikori,Jeremy Chardy,1
Rafael Nadal,Marcel Granollers,1,,Marcel Granollers,Rafael Nadal,0
Albert Montanes,Joao Sousa,1,,Albert Montanes,Joao Sousa,1
Fabio Fognini,Mikhail Youzhny,1,,Mikhail Youzhny,Fabio Fognini,0
Viktor Troicki,Marton Fucsovics,1,,Viktor Troicki,Marton Fucsovics,1
Radek Stepanek,Edouard Roger Vasselin,1,,Edouard Roger Vasselin,Radek Stepanek,0
Andrey Kuznetsov,Inigo Cervantes Huegun,1,,Andrey Kuznetsov,Inigo Cervantes Huegun,1
Philipp Kohlschreiber,Pablo Carreno Busta,1,,Pablo Carreno Busta,Philipp Kohlschreiber,0
Feliciano Lopez,Ivan Dodig,1,,Feliciano Lopez,Ivan Dodig,1
Benoit Paire,Teymuraz Gabashvili,1,,Teymuraz Gabashvili,Benoit Paire,0
Pablo Cuevas,Albert Ramos,1,,Pablo Cuevas,Albert Ramos,1
Alexander Zverev,Thomaz Bellucci,1,,Thomaz Bellucci,Alexander Zverev,0
Malek Jaziri,Renzo Olivo,1,,Malek Jaziri,Renzo Olivo,1
Karen Khachanov,Roberto Bautista Agut,1,,Roberto Bautista Agut,Karen Khachanov,0
Alexandr Dolgopolov,Evgeny Donskoy,1,,Alexandr Dolgopolov,Evgeny Donskoy,1
Jeremy Chardy,Victor Estrella,1,,Victor Estrella,Jeremy Chardy,0
Kei Nishikori,Thiemo De Bakker,1,,Kei Nishikori,Thiemo De Bakker,1
Marcel Granollers,Daniel Munoz De La Nava,1,,Daniel Munoz De La Nava,Marcel Granollers,0
Albert Montanes,Roberto Carballes Baena,1,,Albert Montanes,Roberto Carballes Baena,1
Mikhail Youzhny,Rajeev Ram,1,,Rajeev Ram,Mikhail Youzhny,0
Marton Fucsovics,Ernests Gulbis,1,,Marton Fucsovics,Ernests Gulbis,1
Radek Stepanek,Santiago Giraldo,1,,Santiago Giraldo,Radek Stepanek,0
Inigo Cervantes Huegun,Franco Skugor,1,,Inigo Cervantes Huegun,Franco Skugor,1
Pablo Carreno Busta,Denis Istomin,1,,Denis Istomin,Pablo Carreno Busta,0
Ivan Dodig,Pedro Cachin,1,,Ivan Dodig,Pedro Cachin,1
Teymuraz Gabashvili,Nicolas Almagro,1,,Nicolas Almagro,Teymuraz Gabashvili,0
Albert Ramos,Jaume Munar,1,,Albert Ramos,Jaume Munar,1
Alexander Zverev,Jan Lennard Struff,1,,Jan Lennard Struff,Alexander Zverev,0
Malek Jaziri,Hyeon Chung,1,,Malek Jaziri,Hyeon Chung,1
Karen Khachanov,Aljaz Bedene,1,,Aljaz Bedene,Karen Khachanov,0
Evgeny Donskoy,Facundo Bagnis,1,,Evgeny Donskoy,Facundo Bagnis,1
Victor Estrella,Mikhail Kukushkin,1,,Mikhail Kukushkin,Victor Estrella,0
Thiemo De Bakker,Elias Ymer,1,,Thiemo De Bakker,Elias Ymer,1
Fernando Verdasco,Lucas Pouille,1,,Lucas Pouille,Fernando Verdasco,0
Fernando Verdasco,Guillermo Garcia Lopez,1,,Fernando Verdasco,Guillermo Garcia Lopez,1
Lucas Pouille,Federico Delbonis,1,,Federico Delbonis,Lucas Pouille,0
Fernando Verdasco,Robin Haase,1,,Fernando Verdasco,Robin Haase,1
Guillermo Garcia Lopez,Guido Pella,1,,Guido Pella,Guillermo Garcia Lopez,0
Federico Delbonis,Marco Cecchinato,1,,Federico Delbonis,Marco Cecchinato,1
Lucas Pouille,Paolo Lorenzi,1,,Paolo Lorenzi,Lucas Pouille,0
Robin Haase,Bernard Tomic,1,,Robin Haase,Bernard Tomic,1
Fernando Verdasco,Radu Albot,1,,Radu Albot,Fernando Verdasco,0
Guillermo Garcia Lopez,Kyle Edmund,1,,Guillermo Garcia Lopez,Kyle Edmund,1
Guido Pella,Daniel Gimeno Traver,1,,Daniel Gimeno Traver,Guido Pella,0
Marco Cecchinato,Damir Dzumhur,1,,Marco Cecchinato,Damir Dzumhur,1
Federico Delbonis,Illya Marchenko,1,,Illya Marchenko,Federico Delbonis,0
Paolo Lorenzi,Taro Daniel,1,,Paolo Lorenzi,Taro Daniel,1
Lucas Pouille,Ivo Karlovic,1,,Ivo Karlovic,Lucas Pouille,0
Robin Haase,Andrea Arnaboldi,1,,Robin Haase,Andrea Arnaboldi,1
Fernando Verdasco,Aldin Setkic,1,,Aldin Setkic,Fernando Verdasco,0
Radu Albot,Paul Henri Mathieu,1,,Radu Albot,Paul Henri Mathieu,1
Kyle Edmund,Lukas Rosol,1,,Lukas Rosol,Kyle Edmund,0
Daniel Gimeno Traver,Adrian Mannarino,1,,Daniel Gimeno Traver,Adrian Mannarino,1
Guido Pella,Adrian Ungur,1,,Adrian Ungur,Guido Pella,0
Marco Cecchinato,Marcos Baghdatis,1,,Marco Cecchinato,Marcos Baghdatis,1
Damir Dzumhur,Marius Copil,1,,Marius Copil,Damir Dzumhur,0
Illya Marchenko,Dudi Sela,1,,Illya Marchenko,Dudi Sela,1
Paolo Lorenzi,Diego Sebastian Schwartzman,1,,Diego Sebastian Schwartzman,Paolo Lorenzi,0
Taro Daniel,Michael Linzer,1,,Taro Daniel,Michael Linzer,1
Lucas Pouille,Dusan Lajovic,1,,Dusan Lajovic,Lucas Pouille,0
Nicolas Almagro,Pablo Carreno Busta,1,,Nicolas Almagro,Pablo Carreno Busta,1
Pablo Carreno Busta,Benoit Paire,1,,Benoit Paire,Pablo Carreno Busta,0
Nicolas Almagro,Nick Kyrgios,1,,Nicolas Almagro,Nick Kyrgios,1
Pablo Carreno Busta,Gilles Simon,1,,Gilles Simon,Pablo Carreno Busta,0
Benoit Paire,Guillermo Garcia Lopez,1,,Benoit Paire,Guillermo Garcia Lopez,1
Nicolas Almagro,Leonardo Mayer,1,,Leonardo Mayer,Nicolas Almagro,0
Nick Kyrgios,Borna Coric,1,,Nick Kyrgios,Borna Coric,1
Gilles Simon,Paul Henri Mathieu,1,,Paul Henri Mathieu,Gilles Simon,0
Pablo Carreno Busta,Taro Daniel,1,,Pablo Carreno Busta,Taro Daniel,1
Benoit Paire,Kyle Edmund,1,,Kyle Edmund,Benoit Paire,0
Guillermo Garcia Lopez,Stephane Robert,1,,Guillermo Garcia Lopez,Stephane Robert,1
Leonardo Mayer,Paolo Lorenzi,1,,Paolo Lorenzi,Leonardo Mayer,0
Nicolas Almagro,Joao Sousa,1,,Nicolas Almagro,Joao Sousa,1
Borna Coric,Rogerio Dutra Silva,1,,Rogerio Dutra Silva,Borna Coric,0
Nick Kyrgios,Inigo Cervantes Huegun,1,,Nick Kyrgios,Inigo Cervantes Huegun,1
Paul Henri Mathieu,Gastao Elias,1,,Gastao Elias,Paul Henri Mathieu,0
Taro Daniel,Steven Diez,1,,Taro Daniel,Steven Diez,1
Pablo Carreno Busta,Fernando Verdasco,1,,Fernando Verdasco,Pablo Carreno Busta,0
Kyle Edmund,Daniel Gimeno Traver,1,,Kyle Edmund,Daniel Gimeno Traver,1
Stephane Robert,Thomas Fabbiano,1,,Thomas Fabbiano,Stephane Robert,0
Guillermo Garcia Lopez,Michael Berrer,1,,Guillermo Garcia Lopez,Michael Berrer,1
Leonardo Mayer,Pedro Sousa,1,,Pedro Sousa,Leonardo Mayer,0
Paolo Lorenzi,Elias Ymer,1,,Paolo Lorenzi,Elias Ymer,1
Nicolas Almagro,Frederico Ferreira Silva,1,,Frederico Ferreira Silva,Nicolas Almagro,0
Borna Coric,Andrea Arnaboldi,1,,Borna Coric,Andrea Arnaboldi,1
Rogerio Dutra Silva,Benjamin Becker,1,,Benjamin Becker,Rogerio Dutra Silva,0
Inigo Cervantes Huegun,Daniel Munoz De La Nava,1,,Inigo Cervantes Huegun,Daniel Munoz De La Nava,1
Diego Sebastian Schwartzman,Grigor Dimitrov,1,,Grigor Dimitrov,Diego Sebastian Schwartzman,0
Diego Sebastian Schwartzman,Federico Delbonis,1,,Diego Sebastian Schwartzman,Federico Delbonis,1
Grigor Dimitrov,Ivo Karlovic,1,,Ivo Karlovic,Grigor Dimitrov,0
Diego Sebastian Schwartzman,Damir Dzumhur,1,,Diego Sebastian Schwartzman,Damir Dzumhur,1
Federico Delbonis,Albert Ramos,1,,Albert Ramos,Federico Delbonis,0
Ivo Karlovic,Marcel Granollers,1,,Ivo Karlovic,Marcel Granollers,1
Grigor Dimitrov,Jiri Vesely,1,,Jiri Vesely,Grigor Dimitrov,0
Diego Sebastian Schwartzman,Bernard Tomic,1,,Diego Sebastian Schwartzman,Bernard Tomic,1
Damir Dzumhur,Illya Marchenko,1,,Illya Marchenko,Damir Dzumhur,0
Federico Delbonis,Dudi Sela,1,,Federico Delbonis,Dudi Sela,1
Albert Ramos,Karen Khachanov,1,,Karen Khachanov,Albert Ramos,0
Marcel Granollers,Hyeon Chung,1,,Marcel Granollers,Hyeon Chung,1
